record_no,sequence_crc64,length_aa,exact_sequence_source,uniparc_id,uniprot_accessions,taxon_id,organism,domain,phylum_or_kingdom,HXXXD_present,C_H_D_cooccur,both_motif_proxies,contains_noncanonical_residue,crc,y_pred,new_y_pred,new_rank
4298,D9BFC9825CD50679,301,UniProtKB/Swiss-Prot (reviewed representative),UPI000169C680,B7HYG6;B7HYG6,1386,Bacillus,Bacteria,Bacillota,False,True,False,False,D9BFC9825CD50679,0.995788872,1.0140526294708252,1
1912,C2749F8506A8C6F1,171,UniProtKB/Swiss-Prot (reviewed representative),UPI000012621F,Q01612;A0A1U7Q270,10036,Mesocricetus auratus,Eukaryota,Chordata,False,True,False,False,C2749F8506A8C6F1,-0.003082983,1.0073974132537842,2
4637,2E5C36B5B6A5D3B5,301,UniProtKB/TrEMBL (unreviewed representative),UPI0000166442,B0QMQ5;A0A0B5U1Q8;C3P2G5;A0A0B5YM01;A0A0B5LLN5;W8HU61;B3JBK7;A0A0B5NIE8;A0A6H9IGP3;A0A1V4B740;C3LFT4;A0A0B7Y9Z7;B0Q5T5;Q6HQ93;A0A0B6QKR0;Q81JP7;B1F2W9;B7JHN0;W0CPT3;A0A0U0G2Y8;A0A084CSM8;B3YZH3;A0A2P0HLQ6;B1GLP1;A0A0E0W7N9;W7GQJ6;J4TM60;J7EB34;C3HRV8;I0DB00;A0A243CRH6;C3LFT4;W7HET5;W0D2R6;A0A076Y3E1;A0A0B7PB22;A0A011R8I9;C3P2G5;A0A1S0QQI4;A0A242W1D1;W7GJU9;A0A0K6KVE0;A0A7U4BAZ7;B1UQH4;B0AT25;B7JHN0;E9R4N2;A0A4Y7R2X6,91061,Bacilli,Bacteria,Bacillota,False,True,False,False,2E5C36B5B6A5D3B5,0.995598972,1.00697922706604,3
4312,2E5C36B5B6A5D3B5,301,UniProtKB/TrEMBL (unreviewed representative),UPI0000166442,B0QMQ5;A0A0B5U1Q8;C3P2G5;A0A0B5YM01;A0A0B5LLN5;W8HU61;B3JBK7;A0A0B5NIE8;A0A6H9IGP3;A0A1V4B740;C3LFT4;A0A0B7Y9Z7;B0Q5T5;Q6HQ93;A0A0B6QKR0;Q81JP7;B1F2W9;B7JHN0;W0CPT3;A0A0U0G2Y8;A0A084CSM8;B3YZH3;A0A2P0HLQ6;B1GLP1;A0A0E0W7N9;W7GQJ6;J4TM60;J7EB34;C3HRV8;I0DB00;A0A243CRH6;C3LFT4;W7HET5;W0D2R6;A0A076Y3E1;A0A0B7PB22;A0A011R8I9;C3P2G5;A0A1S0QQI4;A0A242W1D1;W7GJU9;A0A0K6KVE0;A0A7U4BAZ7;B1UQH4;B0AT25;B7JHN0;E9R4N2;A0A4Y7R2X6,91061,Bacilli,Bacteria,Bacillota,False,True,False,False,2E5C36B5B6A5D3B5,0.995598972,1.00697922706604,3
4651,2E5C36B5B6A5D3B5,301,UniProtKB/TrEMBL (unreviewed representative),UPI0000166442,B0QMQ5;A0A0B5U1Q8;C3P2G5;A0A0B5YM01;A0A0B5LLN5;W8HU61;B3JBK7;A0A0B5NIE8;A0A6H9IGP3;A0A1V4B740;C3LFT4;A0A0B7Y9Z7;B0Q5T5;Q6HQ93;A0A0B6QKR0;Q81JP7;B1F2W9;B7JHN0;W0CPT3;A0A0U0G2Y8;A0A084CSM8;B3YZH3;A0A2P0HLQ6;B1GLP1;A0A0E0W7N9;W7GQJ6;J4TM60;J7EB34;C3HRV8;I0DB00;A0A243CRH6;C3LFT4;W7HET5;W0D2R6;A0A076Y3E1;A0A0B7PB22;A0A011R8I9;C3P2G5;A0A1S0QQI4;A0A242W1D1;W7GJU9;A0A0K6KVE0;A0A7U4BAZ7;B1UQH4;B0AT25;B7JHN0;E9R4N2;A0A4Y7R2X6,91061,Bacilli,Bacteria,Bacillota,False,True,False,False,2E5C36B5B6A5D3B5,0.995598972,1.00697922706604,3
9964,B5709D6FC19E0ECA,142,UniProtKB/TrEMBL (unreviewed representative),UPI000013AD3D,Q48XN3;A0A030KE01;A0A030MXY1;A0A030Q1G5;A0A2X4P948;A0A030NT03;A0A030N687;A0A030LT36;A0A030BD18;A0A030JPS5;A0A029XME1;A0A030NCS8;A0A030JJZ2;A0A030JFP4;A0A030JUW4;P0C0H5;A0A029SH40;A0A2H1X6I3;A0A029WQT8;A0A030L5F7;A0A030LL32;A0A0C6G4D5;A0A030KLS7;A0A030LBH1;A0A030N3W7;A0A030MII6;A0A029YX16;K4N4D8;A0A029Y3E9;A0A030K0Y5;A0A030PUZ8;A0A4U9T8A5;A0A030NH11;J7M667;A0A030L0C4;A0A030P785;A0A030KVD2;A0A3P5Y4L1;A0ABD7UV59;A0A030F5X4;A0A030M6S8;A0A029T7F7;A0A029UNW1;A0A030LFS9;U9WN95;A0A030EVE6;T0BJ51;A0A030ME07;A0A030KQD3;V6VLE3;A0A030P0M7;A0A030K5T4;A0A030PK17;A0A030JA36;A0A030J4Y4;A0A029SJW6;A0A030LXY1;P16963;A0A030PCU1;A0A030NPR1;A0A030AAU1,1301,Streptococcus,Bacteria,Bacillota,False,True,False,False,B5709D6FC19E0ECA,0.995235503,1.00626540184021,4
4295,89FDB292D88F89B7,301,UniProtKB/TrEMBL (unreviewed representative),UPI00016B52CC,A0A9X8NWF7;A0A6L3BN19;A0A243LDI1;J8KTY1;A0A9W7PA06;A0A9X0JZQ8;A0A0D1RGZ0;A0A3B0AH96;A0AAI9RIY9;A0A1Q9KU84;A0A9X5AI73;J8N4P5;A0A9X6QX59;A0A1S9YY56;A0A4P7U633;A0A9W5KRW4;B7HG67;A0A6I2EMU7;A0A9X7QCZ3;B7HG67;A0A0J6MY04,1386,Bacillus,Bacteria,Bacillota,True,True,True,False,89FDB292D88F89B7,0.995382607,1.0057296752929688,5
751,6476C52969F5067D,301,UniProtKB/TrEMBL (unreviewed representative),UPI00002415C0,M4HAD0;A0A4P9ETL9;A0A2C3GUQ5;Q72X44;F0PW86;A0A657R336;A0A5C5AL31;A0A1J9ZVK7;A0A150DYP1;Q72X44;A0A2Z2D5P8;A0A6L5LI97,1386,Bacillus,Bacteria,Bacillota,False,True,False,False,6476C52969F5067D,0.998349726,1.0055036544799805,6
6952,DEECF2DB9D24DEC9,301,UniProtKB/Swiss-Prot (reviewed representative),UPI000043CEC5,Q630J5;A0A0B6BC62;Q630J5,86661,Bacillus cereus group,Bacteria,Bacillota,False,True,False,False,DEECF2DB9D24DEC9,0.995406687,1.0051581859588623,7
9965,B575CD6FC4CE0ECA,142,UniProtKB/TrEMBL (unreviewed representative),UPI000000ACF8,A0A029SYE6;A0A029YKR0;A0A029Y893;A0A030DBC4;A0A030BKE6;P0DB79;A0A4U9I5S8;A0A030DSP6;Q1JFZ0;A0A030D6Q5;A0A029WTD8;A0A030DH20;A0A030C163;A2RDJ0;A0A029TPR5;A0A029UBL0;A0A030AIR8;A0A098QAD7;A0A029ZLR3;A0A030EKS3;A0A030AFT2;A0A030E8M5;A0A030PU19;A0A030DT78;A0A029X2N7;A0A029YSV6;A0A030CWW9;A0A029WKS7;A0A030CN73;A0A030LQ05;A0A029TJZ7;A0A030QDT2;A0A3G6AXF6;A0A029UTJ7;A0A030E0P8;A0A030D0G1;A0A0E1ERM8;A0A030BT10;A0A2N7AZP8;A0A029SC59;A0A030B5R4;U9WVY2;A0A030E636;A0A030EFV2;A0A030CAD7;A0A030BY87;A0A030CXA0;A0A2X3TYP9;A0A029Z798;A0A030MNY2;A0A030AQ83;A0A030C8I0;U2TWJ0;A0A030EKW0;A0A140JVJ0;A0A029TEC6;A0A029W3Z2;A0A030Q614;A0A029T743;A0A030CIB5;A0A030PK38;A0A029VG47;A0A030AV58;A0A075SNX1;Q8K6Q7;A0A5D3HFG9;P0DB78;A0A030QCN0;Q79XS0,1301,Streptococcus,Bacteria,Bacillota,False,True,False,False,B575CD6FC4CE0ECA,0.997776091,1.0044424533843994,8
9966,B575CD6FC4CE0ECA,142,UniProtKB/TrEMBL (unreviewed representative),UPI000000ACF8,A0A029SYE6;A0A029YKR0;A0A029Y893;A0A030DBC4;A0A030BKE6;P0DB79;A0A4U9I5S8;A0A030DSP6;Q1JFZ0;A0A030D6Q5;A0A029WTD8;A0A030DH20;A0A030C163;A2RDJ0;A0A029TPR5;A0A029UBL0;A0A030AIR8;A0A098QAD7;A0A029ZLR3;A0A030EKS3;A0A030AFT2;A0A030E8M5;A0A030PU19;A0A030DT78;A0A029X2N7;A0A029YSV6;A0A030CWW9;A0A029WKS7;A0A030CN73;A0A030LQ05;A0A029TJZ7;A0A030QDT2;A0A3G6AXF6;A0A029UTJ7;A0A030E0P8;A0A030D0G1;A0A0E1ERM8;A0A030BT10;A0A2N7AZP8;A0A029SC59;A0A030B5R4;U9WVY2;A0A030E636;A0A030EFV2;A0A030CAD7;A0A030BY87;A0A030CXA0;A0A2X3TYP9;A0A029Z798;A0A030MNY2;A0A030AQ83;A0A030C8I0;U2TWJ0;A0A030EKW0;A0A140JVJ0;A0A029TEC6;A0A029W3Z2;A0A030Q614;A0A029T743;A0A030CIB5;A0A030PK38;A0A029VG47;A0A030AV58;A0A075SNX1;Q8K6Q7;A0A5D3HFG9;P0DB78;A0A030QCN0;Q79XS0,1301,Streptococcus,Bacteria,Bacillota,False,True,False,False,B575CD6FC4CE0ECA,0.997776091,1.0044424533843994,8
7450,22E251FC39BAEAFF,301,UniProtKB/TrEMBL (unreviewed representative),UPI00004980E8,A0A5B7VPK3;A0AAN3VKD4;A0A9X6QRK8;A0A243DNJ2;R8S4U0;A0A9W5Q1Q1;A0A9W7U2Y1;A0AAP6I136;A0A9X6IRL9;A0A9Q5QIB2;Q814M3;A0A9W5P5P9;A0A0G4CRE8;A0A0U4U637;A0A1M6FVG5;A0A5E9IM17;A0A164VRF1;A0A243KV24;A0A9X7N7W3;J8HTQ0;J8L3Z8;D5TRH3;A0A9X6JIL3;A0A243EQ40;A0A7V7H108;A0A9W4ERH0;R8GWG0;A0A0T8YFI8;A0A1Y0TRI1;A0AAW4HYW8;W4EEF1;A0A9W5KGP2,91061,Bacilli,Bacteria,Bacillota,True,True,True,False,22E251FC39BAEAFF,0.995256245,1.0034384727478027,9
4306,36ED02F35A893036,301,UniProtKB/Swiss-Prot (reviewed representative),UPI00016B841B,B7IRT5;B7IRT5;A0A4U0S3C4;A0A2C0Z380;A0A7W7TQC2,86661,Bacillus cereus group,Bacteria,Bacillota,True,True,True,False,36ED02F35A893036,0.995800197,1.0034220218658447,10
7139,54C45E44C4D42029,301,UniProtKB/Swiss-Prot (reviewed representative),UPI00003B421C,Q6HAN0;A0A0B6BD79;A0A7D4LTC2;Q6HAN0,86661,Bacillus cereus group,Bacteria,Bacillota,False,True,False,False,54C45E44C4D42029,0.995307028,1.0028820037841797,11
2523,C2749F8366CEC6F1,171,UniProtKB/Swiss-Prot (reviewed representative),UPI00000E83C6,Q9JHW6;G3I902;Q9JHW6,10026,Cricetinae,Eukaryota,Chordata,False,True,False,False,C2749F8366CEC6F1,-0.001301157,1.0027780532836914,12
10021,08DFA68072F25EEA,142,UniProtKB/Swiss-Prot (reviewed representative),UPI00000D9A2D,Q8P051;U9XBD4;A0A2X4EK15;Q8P051,1301,Streptococcus,Bacteria,Bacillota,False,True,False,False,08DFA68072F25EEA,0.997208059,1.0017337799072266,13
4615,7EFD37B5A6B4DEC8,301,UniProtKB/TrEMBL (unreviewed representative),UPI0000E8A44D,A0A243B762;A0A0J1HQI2;B3ZD01;A0A0B5M937;A0AAN0SX31;A0RLI8;A0A7X2DQU1;A0A2S9Y2Y6;D8H4Y0;C1EQ75;A0A0B5MQ21;A0A5B3IND7;A0AAU9BR90;A0A0B5WFX1;A0AAE4TVM5;A0A6N0IZH7;A0AA96PU45;D7WH98;A0RLI8;B3ZQM9;A0A5C4Z3N5;A0A1Q4KXF9;A0ABD4L8B8;A0A154AUH8;C1EQ75,1386,Bacillus,Bacteria,Bacillota,False,True,False,False,7EFD37B5A6B4DEC8,0.995515049,1.0011136531829834,14
2777,7EFD37B5A6B4DEC8,301,UniProtKB/TrEMBL (unreviewed representative),UPI0000E8A44D,A0A243B762;A0A0J1HQI2;B3ZD01;A0A0B5M937;A0AAN0SX31;A0RLI8;A0A7X2DQU1;A0A2S9Y2Y6;D8H4Y0;C1EQ75;A0A0B5MQ21;A0A5B3IND7;A0AAU9BR90;A0A0B5WFX1;A0AAE4TVM5;A0A6N0IZH7;A0AA96PU45;D7WH98;A0RLI8;B3ZQM9;A0A5C4Z3N5;A0A1Q4KXF9;A0ABD4L8B8;A0A154AUH8;C1EQ75,1386,Bacillus,Bacteria,Bacillota,False,True,False,False,7EFD37B5A6B4DEC8,0.995515049,1.0011136531829834,14
355,A919838E8AA81899,171,UniProtKB/TrEMBL (unreviewed representative),UPI0000003E4B,A2BES1;P48026;Q3U444,39107,Murinae,Eukaryota,Chordata,False,True,False,False,A919838E8AA81899,0.997434849,1.0005834102630615,15
9995,285938C798DFA680,146,UniProtKB/TrEMBL (unreviewed representative),UPI000017021A,U9WLJ9;A0A5A4LGF0;Q5XAY3;A0A0G2V1E7;A0A167NUQ9;A0A089GQG0;A0A2X3UKD3;U9WKB6;P16963;T5E1R8;A0A209Q7R6;U9WC07;Q5XAY3;A0A0E4B7W9;A0A6C2WSF6;P0C0H4;V6WDQ1,2,Bacteria,Unresolved,Unresolved,False,True,False,False,285938C798DFA680,0.997240392,1.0003714561462402,16
9963,285938C798DFA680,146,UniProtKB/TrEMBL (unreviewed representative),UPI000017021A,U9WLJ9;A0A5A4LGF0;Q5XAY3;A0A0G2V1E7;A0A167NUQ9;A0A089GQG0;A0A2X3UKD3;U9WKB6;P16963;T5E1R8;A0A209Q7R6;U9WC07;Q5XAY3;A0A0E4B7W9;A0A6C2WSF6;P0C0H4;V6WDQ1,2,Bacteria,Unresolved,Unresolved,False,True,False,False,285938C798DFA680,0.997240392,1.0003714561462402,16
3716,A43D5C264BCAA6E7,301,UniProtKB/TrEMBL (unreviewed representative),UPI00006AE553,Q2ATV8;A9VTE3;A0AAC8S0C0;A9VTE3;W4R9Q7;A0A0A0WR69,86661,Bacillus cereus group,Bacteria,Bacillota,False,True,False,False,A43D5C264BCAA6E7,0.995925963,1.000164270401001,17
2122,516CA1D5EB91F466,171,UniProtKB/TrEMBL (unreviewed representative),UPI00004F2ABE,A0A6P3ERT4;A0AAD4UG72;F7VJJ0;A0A6B0SG79;A0AC11CEU0;A0A6P5BFI1;A0A6P3HMH6;Q3T0Q0;A0A8B9WTT5;A0ACI6RYQ9;A0A4W2DTJ6;A0A8C6FIH4;A0ACB9TZY3;A0A452EXI8;W5Q5Q0;Q3T0Q0,35500,Pecora,Eukaryota,Chordata,False,True,False,False,516CA1D5EB91F466,-0.000410474,0.999151051044464,18
1851,30125A9F7AA81888,171,UniProtKB/Swiss-Prot (reviewed representative),UPI0000126220,P49431;A0A6P5P270,39107,Murinae,Eukaryota,Chordata,False,True,False,False,30125A9F7AA81888,-0.000330816,0.9990739226341248,19
402,AA39CBAB56C8B8A4,424,UniProtKB/Swiss-Prot (reviewed representative),UPI00001AA29C,Q66165;B7TYG8;C6GHQ9,11128,Bovine coronavirus,Viruses,Pisuviricota,True,True,True,False,AA39CBAB56C8B8A4,0.997742712,0.9962618947029114,20
9496,C79C23FFE8B92210,325,UniProtKB/Swiss-Prot (reviewed representative),UPI00004E2E49,Q54IU9;Q54IU9;D8FSW7,44689,Dictyostelium discoideum,Eukaryota,Evosea,True,True,True,False,C79C23FFE8B92210,0.996625483,0.9955444931983948,21
2044,531564C4EE91F477,171,UniProtKB/Swiss-Prot (reviewed representative),UPI0000126221,Q28999;A0A8C3VNP0,35497,Suina,Eukaryota,Chordata,False,True,False,False,531564C4EE91F477,0.007291396,0.9946580529212952,22
333,79D0733CDDC5C629,525,UniProtKB/TrEMBL (unreviewed representative),UPI0000126229,E7KUU0;E7QL60;A0A0D4FJ90;A0A0D4HE62;A0A0D4FBQ1;A0A0D4F649;A0A3F3FVL7;A0A0D4FAB3;A0A3F3EL63;A0A0D4F5M0;W7PAB0;A0A3F3FPI2;A0A0D4FF97;A0A0D4F763;E7M0V8;A0A0D4G8R3;A0A0D4ETW6;A0A0D4GBV7;A0A0D4F2Z6;A0A0D4FWD8;P40353;C7GVG9;A0A0D4FI71;A0A0D4G8D6;D6W370;A0A0D4GVJ0;A0A0D4GZ27;A0A0D4EBM5;A0A0C5IQZ9;A0A0D4ERC6;A0A0D4ELF5;A0A0D4FU13;A0A0D4FRM7;A0A0D4E5Y3;A0A0D4G3Q5;A0A0D4GDJ1;A0A0D4FE96;A0A023ZIF5;A0A0D4F9U2;E7Q9U9;A0A0D4HIM6;A0A0D4GD92;A0A3F3F2S8;A0A0D4G2N7;A0A816BCE9;A0A0D4EA23;B3LK31;B5VSQ1;A0A0D4HKT2;A0A5J6SKC0;A0A0D4H8S9;A0A024XVW7;A0A0D4E901;A0A0D4G6E0;A0A0D4EGY7;C8ZHC6;N1NWA4;A0A0D4FLR9;A0A0D4HEC6;A0A0D4HGD6;A0A0D4HN38;W7R803;A0A0D4GU25;A0A0D4EX42;A0A0D4HBK7;A0A0D4EUT3;A0A0D4EDN2;A0A0D4FCV1,4932,Saccharomyces cerevisiae,Eukaryota,Ascomycota,True,True,True,False,79D0733CDDC5C629,0.99804312,0.993800938129425,23
3155,1411CB142525845B,305,UniProtKB/Swiss-Prot (reviewed representative),UPI0000664BBF,A4WUJ2;A4WUJ2;A3T7P8,1653176,Cereibacter,Bacteria,Pseudomonadota,True,True,True,False,1411CB142525845B,0.996311367,0.992980420589447,24
275,6A0578B88CD72F09,171,UniProtKB/TrEMBL (unreviewed representative),UPI000012621E,G3SGI4;H2QYE7;P21673;A0A2R9B7N7;K7DU96;A0A384NQ10;Q0JV65;A0A2J8L381;A0A6D2X3R6;Q6ICU9,81077,artificial sequences,Unresolved,Unresolved,False,True,False,False,6A0578B88CD72F09,0.061648756,0.9906923174858092,25
2392,884F62EE071A368F,171,UniProtKB/Swiss-Prot (reviewed representative),UPI00000FE286,Q8AXL1;F1NBG7;A0A8C9EVU1;A0A2P4SH43;A0A226P5I2;Q8AXL1,8976,Galliformes,Eukaryota,Chordata,False,True,False,False,884F62EE071A368F,0.00478663,0.9889137148857116,26
5154,00555D36A843D589,219,UniProtKB/Swiss-Prot (reviewed representative),UPI0000127013,P26825,2,Bacteria,Unresolved,Unresolved,True,True,True,False,00555D36A843D589,0.99703449,0.988852083683014,27
348,2484D6BEAC761983,358,UniProtKB/TrEMBL (unreviewed representative),UPI00001685EE,A0A8D4RJR5;A0A0E1WLU6;P45131;P45131;C9MJ70,727,Haemophilus influenzae,Bacteria,Pseudomonadota,False,True,False,False,2484D6BEAC761983,0.942433298,0.9871931672096252,28
1943,023DDFAAEA528833,455,UniProtKB/Swiss-Prot (reviewed representative),UPI0000E26BB5,Q0BN96;Q0BN96;A0A0B6CRL5,263,Francisella tularensis,Bacteria,Pseudomonadota,False,True,False,False,023DDFAAEA528833,0.088845402,0.9851862788200378,29
1999,04F0E69122420767,455,UniProtKB/Swiss-Prot (reviewed representative),UPI0000DACBEE,Q14J62;Q14J62,263,Francisella tularensis,Bacteria,Pseudomonadota,False,True,False,False,04F0E69122420767,0.078904741,0.9851240515708924,30
6532,25C9E26CA507A626,358,UniProtKB/Swiss-Prot (reviewed representative),UPI00003CDC34,Q4QJY8;C4F6C7;Q4QJY8;A0A2R3FZ60;A0A0C5F1W9;A0A060GDD4,32644,unidentified,Unresolved,Unresolved,False,True,False,False,25C9E26CA507A626,0.932630897,0.9851133227348328,31
2049,04F0E691225AB037,455,UniProtKB/TrEMBL (unreviewed representative),UPI000049C28B,A0AAN0QLL2;K5WWX3;K0E9E0;R0HBE7;A0A029R0J2;A7NAF3;W5UV16;A0A0E2ZKX0;H6LZL0;Q2A4X7;A0A0G2P9F0;B2SFB5;A0AAP6RCD2;Q5NHR0;A7NAF3;K7X2D4;A0A6B2JFN7;K5XP14;A0A0E3VI10;A0A4Q7HFC0;Q2A4X7;A0A454NTV4;A0A1R0HJW0;A0A029RMW5;A0A029QUT3;K8YGM9;A0AAQ1CM81;R0H5Y8;K5XQ79;A0A509J5C6;R0H6B0;A0A029R7R6;Q5NHR0;D2ALP8;A0AAI8BIT0;A4KQ47;A0A0B6DW54;A0A0M1U4L0;A0AAD3ARU1;A4IZM7;K5XPE9;M5UC30;A0A0F7NYZ6;A0A0K1NT92;A0A0B6EKC3;A0A0B6EGK8;A4IZM7;A0A4P1NBS5;A0A029RVF0;K5Y8A4;A0A080QBT8;A0A6N3S898;H6LT48;B2SFB5;A0A0B6DFE9;A0A029RCD5;A0A806QRN9;A0A0E3CY04;A0A0K1Z199,263,Francisella tularensis,Bacteria,Pseudomonadota,False,True,False,False,04F0E691225AB037,0.99754101,0.9846076369285583,32
1330,04F0E691225AB037,455,UniProtKB/TrEMBL (unreviewed representative),UPI000049C28B,A0AAN0QLL2;K5WWX3;K0E9E0;R0HBE7;A0A029R0J2;A7NAF3;W5UV16;A0A0E2ZKX0;H6LZL0;Q2A4X7;A0A0G2P9F0;B2SFB5;A0AAP6RCD2;Q5NHR0;A7NAF3;K7X2D4;A0A6B2JFN7;K5XP14;A0A0E3VI10;A0A4Q7HFC0;Q2A4X7;A0A454NTV4;A0A1R0HJW0;A0A029RMW5;A0A029QUT3;K8YGM9;A0AAQ1CM81;R0H5Y8;K5XQ79;A0A509J5C6;R0H6B0;A0A029R7R6;Q5NHR0;D2ALP8;A0AAI8BIT0;A4KQ47;A0A0B6DW54;A0A0M1U4L0;A0AAD3ARU1;A4IZM7;K5XPE9;M5UC30;A0A0F7NYZ6;A0A0K1NT92;A0A0B6EKC3;A0A0B6EGK8;A4IZM7;A0A4P1NBS5;A0A029RVF0;K5Y8A4;A0A080QBT8;A0A6N3S898;H6LT48;B2SFB5;A0A0B6DFE9;A0A029RCD5;A0A806QRN9;A0A0E3CY04;A0A0K1Z199,263,Francisella tularensis,Bacteria,Pseudomonadota,False,True,False,False,04F0E691225AB037,0.99754101,0.9846076369285583,32
